"#","Name","Symbol","Market Cap","Price","Available Supply","Volume (24h)","% 1h","% 24h","% 7d","date","market_cap"
1,"Bitcoin","BTC","$ 1,305,705,142","$ 112.86","11,569,438","Low Vol","0.03 %","3.57 %","8.91 %",2013-08-18," $ 1,424,107,276 "
2,"Litecoin","LTC","$ 57,198,795","$ 2.80","20,423,643","Low Vol","0.01 %","3.27 %","7.78 %",2013-08-18," $ 1,424,107,276 "
3,"Ripple","XRP","$ 45,354,507","$ 0.005801","7,817,889,792
                    
                    
                        *","Low Vol","0.48 %","46.25 %","33.81 %",2013-08-18," $ 1,424,107,276 "
4,"Namecoin","NMC","$ 4,297,435","$ 0.678376","6,334,883","Low Vol","0.04 %","5.27 %","4.24 %",2013-08-18," $ 1,424,107,276 "
5,"Peercoin","PPC","$ 3,328,246","$ 0.166285","20,015,251","Low Vol","-0.07 %","0.41 %","8.51 %",2013-08-18," $ 1,424,107,276 "
6,"Feathercoin","FTC","$ 2,021,828","$ 0.147200","13,735,272","Low Vol","-0.01 %","-3.18 %","-1.97 %",2013-08-18," $ 1,424,107,276 "
7,"Novacoin","NVC","$ 1,885,990","$ 5.27","357,767","Low Vol","-0.03 %","1.96 %","3.21 %",2013-08-18," $ 1,424,107,276 "
8,"Primecoin","XPM","$ 1,416,038","$ 0.867835","1,631,691","Low Vol","-0.37 %","-0.05 %","0.52 %",2013-08-18," $ 1,424,107,276 "
9,"Terracoin","TRC","$ 695,007","$ 0.191002","3,638,743","Low Vol","-0.23 %","1.23 %","5.26 %",2013-08-18," $ 1,424,107,276 "
10,"Infinitecoin","IFC","$ 305,013","$ 0.000004","72,849,090,402","Low Vol","0.80 %","13.19 %","373.80 %",2013-08-18," $ 1,424,107,276 "
1,"Bitcoin","BTC","$ 1,396,556,058","$ 120.36","11,602,912","Low Vol","0.07 %","1.46 %","6.65 %",2013-08-25," $ 1,511,079,284 "
2,"Litecoin","LTC","$ 55,189,054","$ 2.67","20,638,530","Low Vol","-0.06 %","-2.60 %","-4.52 %",2013-08-25," $ 1,511,079,284 "
